id,gender,origin,chechen,russian,english,german,turkish,arabic,record_status,auto_merge_people
ce-name-aishat,female,arabic,Ӏайшат,Айшат,Aishat,Aishat,Ayşe,عائشة,ATTESTED_PRIMARY_SOURCE,false
ce-name-aminat,female,arabic,Аминат,Аминат,Aminat,Aminat,Emine,أمينة,ATTESTED_PRIMARY_SOURCE,false
ce-name-petimat,female,arabic,ПетӀимат,Петимат,Petimat,Petimat,Fatma,فاطمة,ATTESTED_PRIMARY_SOURCE,false
ce-name-khadizhat,female,arabic,Хадижат,Хадижат,Khadizhat,Khadizhat,Hatice,خديجة,ATTESTED_PRIMARY_SOURCE,false
ce-name-zainap,female,arabic,Зайнап,Зайнап,Zainap,Zainap,Zeynep,زينب,ATTESTED_PRIMARY_SOURCE,false
ce-name-maryam,female,semitic_arabic,Марем,Марьям,Maryam,Maryam,Meryem,مريم,ATTESTED_PRIMARY_SOURCE,false
ce-name-layla,female,arabic,Лайла,Лайла,Layla,Layla,Leyla,ليلى,ATTESTED_PRIMARY_SOURCE,false
ce-name-zukhra,female,arabic_persian,ЗухӀра,Зухра,Zukhra,Zukhra,Zühre,زهرة,ATTESTED_PRIMARY_SOURCE,false
ce-name-madina,female,arabic,Медина,Мадина,Madina,Madina,Medine,مدينة,ATTESTED_PRIMARY_SOURCE,false
ce-name-malika,female,arabic,Малика,Малика,Malika,Malika,Melike,مليكة,ATTESTED_PRIMARY_SOURCE,false
ce-name-rukiyat,female,arabic,Рукьият,Рукият,Rukiyat,Rukiyat,Rukiye,رقية,ATTESTED_PRIMARY_SOURCE,false
ce-name-sekinat,female,arabic,Секинат,Секинат,Sekinat,Sekinat,Sekine,سكينة,ATTESTED_PRIMARY_SOURCE,false
ce-name-kulsum,female,arabic,Кулсум,Кулсум,Kulsum,Kulsum,Gülsüm,كلثوم,ATTESTED_PRIMARY_SOURCE,false
ce-name-bilqiz,female,arabic,Билкъиз,Билкис,Bilqiz,Bilqiz,Belkıs,بلقيس,ATTESTED_PRIMARY_SOURCE,false
ce-name-zelikha,female,persian_arabic_tradition,Зелиха,Зелиха,Zelikha,Zelikha,Züleyha,زليخا,ATTESTED_PRIMARY_SOURCE,false
ce-name-aset,female,arabic_or_regional,Асет,Асет,Aset,Aset,Asiye,آسية,ATTESTED_PRIMARY_SOURCE,false
ce-name-zhamilat,female,arabic,Жамилат,Жемилат,Zhamilat,Zhamilat,Cemile,جميلة,ATTESTED_PRIMARY_SOURCE,false
ce-name-rebiat,female,arabic,РебиӀат,Ребиат,Rebiat,Rebiat,Rabia,,ATTESTED_PRIMARY_SOURCE,false
ce-name-rakhimat,female,arabic,Рахьимат,Рахимат,Rakhimat,Rakhimat,Rahime,رحيمة,ATTESTED_PRIMARY_SOURCE,false
ce-name-khava,female,semitic_arabic,Хъава,Хава,Khava,Khava,Havva,حواء,ATTESTED_PRIMARY_SOURCE,false
ce-name-selimat,female,arabic,Селимат,Селимат,Selimat,Selimat,Selime,سليمة,ATTESTED_PRIMARY_SOURCE,false
ce-name-selikhat,female,arabic,Селихьат,Селихат,Selikhat,Selikhat,Saliha,صالحة,ATTESTED_PRIMARY_SOURCE,false
ce-name-khasipat,female,arabic,Хьасипат,Хасипат,Khasipat,Khasipat,Hasibe,حسيبة,ATTESTED_PRIMARY_SOURCE,false
ce-name-muminat,female,arabic,Муъминат,Муминат,Muminat,Muminat,Mümine,مؤمنة,ATTESTED_PRIMARY_SOURCE,false
ce-name-maimonat,female,arabic,Маймонат,Маймонат,Maimonat,Maimonat,Meymune,ميمونة,ATTESTED_PRIMARY_SOURCE,false
ce-name-fariza,female,persian_arabic,Перза,Фариза,Fariza,Fariza,Fariza,,ATTESTED_PRIMARY_SOURCE,false
ce-name-perizat,female,persian,Перизат,Перизат,Perizat,Perizat,Perizat,,ATTESTED_PRIMARY_SOURCE,false
ce-name-sultanat,female,arabic_turkic,Султанат,Султанат,Sultanat,Sultanat,Sultanat,سلطانة,ATTESTED_PRIMARY_SOURCE,false
ce-name-elisa,female,western_borrowing,Элиса,Элиса,Elisa,Elisa,Elisa,,ATTESTED_PRIMARY_SOURCE,false
ce-name-elza,female,western_borrowing,Эльза,Эльза,Elza,Elza,Elza,,ATTESTED_PRIMARY_SOURCE,false
ce-name-enisa,female,regional_or_arabic,Эниса,Эниса,Enisa,Enisa,Enise,,ATTESTED_PRIMARY_SOURCE,false
ce-name-deti,female,native_chechen,Дети,Дети,Deti,Deti,Deti,,ATTESTED_PRIMARY_SOURCE,false
ce-name-deshi,female,native_chechen,Деши,Деши,Deshi,Deshi,Deshi,,ATTESTED_PRIMARY_SOURCE,false
ce-name-zhovkhar,female,native_chechen,ЖовхӀар,Жовхар,Zhovkhar,Zhovkhar,Zhovkhar,,ATTESTED_PRIMARY_SOURCE,false
ce-name-zezag,female,native_chechen,Зезаг,Зезаг,Zezag,Zezag,Zezag,,ATTESTED_PRIMARY_SOURCE,false
ce-name-zaza,female,native_chechen,Заза,Заза,Zaza,Zaza,Zaza,,ATTESTED_PRIMARY_SOURCE,false
ce-name-polla,female,native_chechen,Полла,Полла,Polla,Polla,Polla,,ATTESTED_PRIMARY_SOURCE,false
ce-name-yakha,female,native_chechen,Яха,Яха,Yakha,Yakha,Yakha,,ATTESTED_PRIMARY_SOURCE,false
ce-name-yakhiyta,female,native_chechen,Яхийта,Яхийта,Yakhiyta,Yakhiyta,Yakhiyta,,ATTESTED_PRIMARY_SOURCE,false
ce-name-chovka,female,native_chechen,Човка,Човка,Chovka,Chovka,Chovka,,ATTESTED_PRIMARY_SOURCE,false
ce-name-khokha,female,native_chechen,Кхокха,Кхокха,Khokha,Khokha,Khokha,,ATTESTED_PRIMARY_SOURCE,false
ce-name-aibika,female,regional,Айбика,Айбика,Aibika,Aibika,Aybike,,ATTESTED_PRIMARY_SOURCE,false
ce-name-alpatu,female,native_or_regional,Алпату,Алпату,Alpatu,Alpatu,Alpatu,,ATTESTED_PRIMARY_SOURCE,false
ce-name-baisari,female,native_or_regional,Байсари,Байсари,Baisari,Baisari,Baisari,,ATTESTED_PRIMARY_SOURCE,false
ce-name-dagman,female,native_or_regional,Дагман,Дагман,Dagman,Dagman,Dagman,,ATTESTED_PRIMARY_SOURCE,false
ce-name-zhovsari,female,native_or_regional,Жовсари,Жовсари,Zhovsari,Zhovsari,Zhovsari,,ATTESTED_PRIMARY_SOURCE,false
ce-name-kamsari,female,native_or_regional,Камсари,Камсари,Kamsari,Kamsari,Kamsari,,ATTESTED_PRIMARY_SOURCE,false
ce-name-marzet,female,native_or_regional,Марзет,Марзет,Marzet,Marzet,Marzet,,ATTESTED_PRIMARY_SOURCE,false
ce-name-nanash,female,native_chechen,Нанаш,Нанаш,Nanash,Nanash,Nanash,,ATTESTED_PRIMARY_SOURCE,false
ce-name-siilzhan,female,native_or_regional,Сийлжан,Силжан,Siilzhan,Siilzhan,Siilzhan,,ATTESTED_PRIMARY_SOURCE,false
ce-name-tovsari,female,native_or_regional,Товсари,Товсари,Tovsari,Tovsari,Tovsari,,ATTESTED_PRIMARY_SOURCE,false
ce-name-yazara,female,native_or_regional,Язара,Язара,Yazara,Yazara,Yazara,,ATTESTED_PRIMARY_SOURCE,false
