id,gender,russian_form_1987,chechen_form_1987_normalized,source_status,canonical_today,auto_merge_people
ce-female-1987-001,female,Ада,Ада,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-002,female,Ажу,Ажу,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-003,female,Аза,Аза,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-004,female,Ази,Ази,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-005,female,Азман,Азман,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-006,female,Айбат,Айбат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-007,female,Айбика,Айбика,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-008,female,Айза,Айза,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-009,female,Айзан,Айзан,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-010,female,Айзани,Айзани,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-011,female,Аймани,Аймани,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-012,female,Айна,Ӏайнаъ,OCR_OR_MODERNIZATION_REVIEW_REQUIRED,false,false
ce-female-1987-013,female,Айшат,Ӏайшат,OCR_OR_MODERNIZATION_REVIEW_REQUIRED,false,false
ce-female-1987-014,female,Али,Алий,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-015,female,Алпату,Алпату,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-016,female,Альбика,Аьлбика,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-017,female,Ама,Ама,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-018,female,Аминат,Аминат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-019,female,Анет,Анет,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-020,female,Аровха,Аруха,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-021,female,Аружа,Аружа,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-022,female,Асет,Асет,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-023,female,Асинат,Асинат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-024,female,Асмарт,Асмарт,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-025,female,Ахчи,Ахча,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-026,female,Байсари,Байсари,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-027,female,Бака,Бака,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-028,female,Бакарбика,Бакарбика,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-029,female,Балкан,Балкан,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-030,female,Балшекар,Балшекар,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-031,female,Бана,Бана,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-032,female,Банати,Банати,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-033,female,Барет,Барет,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-034,female,Батази,Батази,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-035,female,Баянт,Баянт,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-036,female,Белижа,Белижа,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-037,female,Бесират,Бесирт,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-038,female,Бика,Бика,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-039,female,Бикату,Бикату,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-040,female,Билкис,Билкъиз,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-041,female,Дагман,Дагман,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-042,female,Дети,Дети,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-043,female,Деши,Деши,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-044,female,Догмара,Догмара,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-045,female,Душта,Душта,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-046,female,Езидат,Езидат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-047,female,Езимат,Езимат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-048,female,Езира,Езира,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-049,female,Езихат,Езихьат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-050,female,Есита,Йисита,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-051,female,Жанати,Жанати,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-052,female,Жанетта,Жанетта,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-053,female,Жанна,Жанна,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-054,female,Жансари,Жансари,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-055,female,Жемилат,Жамилат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-056,female,Жовзан,Жовзан,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-057,female,Жовсари,Жовсари,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-058,female,Жовхар,ЖовхӀар,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-059,female,Забант,Забант,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-060,female,Забра,Забар,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-061,female,Заза,Заза,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-062,female,Заидат,Заидат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-063,female,Зайдат,Зайдат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-064,female,Зайнап,Зайнап,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-065,female,Замана,Замана,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-066,female,Замза,Замза,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-067,female,Замира,Замира,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-068,female,Зара,Зара,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-069,female,Зарган,Зарган,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-070,female,Зезиг,Зезаг,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-071,female,Зелимат,Зелимат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-072,female,Зелиха,Зелиха,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-073,female,Зерпат,Зарпат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-074,female,Зехидат,Зийдат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-075,female,Зиядат,Зиядат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-076,female,Зулай,Зулай,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-077,female,Зулпа,Зулпаъ,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-078,female,Зулпат,Зулпат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-079,female,Зура,Зураъ,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-080,female,Зухра,ЗухӀра,OCR_OR_MODERNIZATION_REVIEW_REQUIRED,false,false
ce-female-1987-081,female,Изайхат,Изайхьат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-082,female,Изахат,Изахьат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-083,female,Кабиха,Кабиха,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-084,female,Кайпа,Кайпа,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-085,female,Камсари,Камсари,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-086,female,Кали,Капи,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-087,female,Келимат,Келимат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-088,female,Кемиса,Кемийса,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-089,female,Кемса,Кемса,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-090,female,Кесира,Кесира,ATTESTED_1987_REVIEW_REQUIRED,false,false
