id,gender,russian_form_1987,chechen_form_1987_normalized,source_status,canonical_today,auto_merge_people
ce-male-1987-001,male,Абали,Абали,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-002,male,Аббас,Ӏаббаз,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-003,male,Абдулкерим,Ӏабдулкерам,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-004,male,Абдулмуслим,Ӏабдулмуслим,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-005,male,Абдулмуталип,ӀабдулмутӀелип,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-006,male,Абу,Абу,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-007,male,Абубакар,Абубакар,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-008,male,Абуязид,Абуязид,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-009,male,Адам,Адам,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-010,male,Аднан,Ӏаднан,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-011,male,Айдамир,Айдамар,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-012,male,Ака,Ака,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-013,male,Акболат,Акхболат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-014,male,Акмарза,Аькхмарза,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-015,male,Али,Ӏали,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-016,male,Али,Ӏела,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-017,male,Алибек,Ӏаьлбик,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-018,male,Алихан,Ӏелихан,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-019,male,Алхазур,Оалхазур,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-020,male,Алхан,Ӏалха,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-021,male,Альви,Ӏалви,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-022,male,Альтемир,Аьлтемир,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-023,male,Амади,Ӏамади,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-024,male,Амирбек,Ӏамирбек,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-025,male,Амирхан,Ӏамирха,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-026,male,Анас,Анас,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-027,male,Анзор,Анзор,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-028,male,Апти,Апти,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-029,male,Арсамак,Аьрсмак,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-030,male,Арснако,Арсанакъа,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-031,male,Асланбек,Аслабик,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-032,male,Асланбек,Аьслбек,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-033,male,Асхаб,Асхьаб,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-034,male,Ахмат,Ахьмад,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-035,male,Ахмад,Ахьмад,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-036,male,Бабай,Бабий,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-037,male,Бадруддин,Бадрудди,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-038,male,Балта,Балта,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-039,male,Баргиш,БӀаьргаш,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-040,male,Басхан,Басха,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-041,male,Батал,БатӀал,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-042,male,Батир,Бетир,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-043,male,Башир,Бешар,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-044,male,Бека,Бека,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-045,male,Бекмурза,Бекмарза,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-046,male,Бексолтан,Бексолта,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-047,male,Бектемир,Бектамар,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-048,male,Бекхан,Бекьхан,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-049,male,Берд,Берд,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-050,male,Берса,Берса,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-051,male,Берснака,Берснакъа,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-052,male,Бехо,БӀаьхо,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-053,male,Биболат,Биболат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-054,male,Билал,Билал,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-055,male,Бисолта,Бисолта,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-056,male,Вадуд,Вадуд,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-057,male,Вара,Вара,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-058,male,Ваха,Ваха,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-059,male,Вахийта,Вахийта,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-060,male,Веза,Веза,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-061,male,Везирхан,Везирхан,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-062,male,Виса,Виса,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-063,male,Висар,Висар,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-064,male,Висингири,Висангира,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-065,male,Висита,Висита,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-066,male,Габис,Габис,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-067,male,Гада,Гада,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-068,male,Гайрбек,Пайрбек,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-069,male,Гилани,Гилани,ATTESTED_1987_REVIEW_REQUIRED,false,false
