id,name_concept_id,left_language,left_value,right_language,right_value,relation_type,confidence,person_identity_merge_policy,source_ids
rel-0073,ce-name-imran,ce,Ӏимран,ru,Имран,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0074,ce-name-khalid,ce,Халид,ru,Халид,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0075,ce-name-khasan,ce,Хьасан,ru,Хасан,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0076,ce-name-khamzat,ce,Хьамзат,ru,Хамзат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0077,ce-name-musa,ce,Муса,ru,Муса,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0078,ce-name-mokhmad,ce,Мохьмад,ru,Магомед,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0079,ce-name-ramzan,ce,Рамзан,ru,Рамазан,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0080,ce-name-rashed,ce,Рашед,ru,Рашид,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0081,ce-name-said,ce,СаьӀид,ru,Саид,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0082,ce-name-suleiman,ce,Сулима,ru,Сулейман,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
